, ,,,,,,,,,,,,,,,,,,,,,
MILWAUKEE,,,,,,,,,,,,Projected 40-man Year-End Payrolls (salary+pro-rated bonus),,,,,,Projected 40-man CB Tax Payrolls (average annual value),,,,
"Blalock, Bradley",rhp,2019,32,977,23,0.000,3 / 3,,,1 yr (24),,,,,,,,,,,,
"Bukauskas, J.B.",rhp,2017,1,15,26,1.086,0 / 3,VC Sports,,"1 yr/$743,400 (24)",,,,A1,A2,A3,,,,,,
"Capra, Vinny",3b-lf,2018,20,596,27,0.074,1 / 3,,,1 yr (24),,,,,,,,,,,,
"Junk, Janson",rhp,2017,22,662,28,0.052,1 / 3,,,1 yr (24),,,,,,,,,,,,
"Miller, Owen",2b,2018,3,84,27,2.076,1 / 3,,,1 yr (24),,,A1,A2,A3,FA,,,,,,
"Quero, Jeferson",c,2019,,VEN,21,0.000,3 / 3,,,1 yr (24),,,,,,,,,,,,
"Roller, Chris",cf,2017,30,910,27,0.000,3 / 3,,,1 yr (24),,,,,,,,,,,,
"Wiemer, Joey",of,2020,4,121,25,1.000,3 / 3,,,1 yr (24),,,,A1,A2,A3,,,,,,
Pre-arbitration Players,,,,,,,,,,,,,,,,,,,,,,
0- to 3-year bonus pool,,,,,,,,,,,,,,,,,,"$1,666,667",$1.667,$1.667,$1.667,$1.667
Injured List,,,,,,,,5,,2,,"$1,490,000",,,,,,"$1,490,000",,,,
40-man players in minors,,,,,,,,,,,,"$2,250,000",$2.250,$2.250,$2.250,$2.250,,"$2,250,000",$2.250,$2.250,$2.250,$2.250
Estimated Player Benefits,,,,,,,,,,,,,,,,,,"$17,000,000",$17.500,$18.000,$18.500,$19.000
,,,,,,,,,,,,2024,2025,2026,2027,2028,,2024,2025,2026,2027,2028
Projected 26-man Opening Day Payroll,,,,,,,,,,,,"$104,324,351",$62.201,$51.201,$40.201,$34.501,,,,,,
Projected 40-man Year-End Payroll,,,,,,,,,,,,"$108,062,327",$64.451,$53.451,$42.451,$36.751,,,,,,
Projected 40-man CB Tax Payroll,,,,,,,,,,,,,,,,,,"$148,382,155",$88.406,$60.156,$60.656,$57.056
Competitive Balance Tax Threshold,,,,,,,,,,,,,,,,,,"$237,000,000",$241.000,$244.000,$244.000,$244.000
Amount under threshold,,,,,,,,,,,,,,,,,,"$88,617,845",$152.594,$183.844,$183.344,$186.944
,,,,,,,,,,,,,,,,,,,,,,
Brewers CBT History,,,,,,,,,,,,,,,,,,,,,,
The Brewers payroll has never exceeded the threshold for MLB's competitive balance tax.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Notes on Competitive Balance Tax,,,,,,,,,,,,,,,,,,,,,,
* Projected payroll for purposes of the Competitive Balance Tax under Article XXIII of MLB collective bargaining agreement. Estimated figures in italics.,,,,,,,,,,,,,,,,,,,,,,
"* Figures include the average annual values of contracts for players on the 40-man roster, plus about $17M for benefits and $1.667M for 0- to 3-year player bonus pool.",,,,,,,,,,,,,,,,,,,,,,
* Tax Thresholds: 2022: $230M $250/$270/$290.  2023: $233M $253/$273/$293.  2024: $237M $257/$277/$297.  2025: $241M $261/$281/$301.  2026: $244M $264/$284/$304.,,,,,,,,,,,,,,,,,,,,,,
* Tax rate based on number of consecutive seasons a club has exceeded the base tax threshold. Rate resets if club payroll falls below tax threshold for one season.,,,,,,,,,,,,,,,,,,,,,,
"* First-Time Payor tax rates: 20% for exceeding threshold by $20M or less, 32% for exceeding by $20-$40M, 62.5% for exceeding by $40M-$60M, 80% for exceeding by $60M or more.",,,,,,,,,,,,,,,,,,,,,,
"* Second-Time Payor tax rates: 30% for exceeding threshold by $20M or less, 42% for exceeding by $20-$40M, 75% for exceeding by $40M or more, 90% for exceeding by $60M or more.",,,,,,,,,,,,,,,,,,,,,,
"* Third-Time Payor tax rates: 50% for exceeding threshold by $20M or less, 62% for exceeding by $20-$40M, 95% for exceeding by $40M or more, 110% for exceeding by $60M or more.",,,,,,,,,,,,,,,,,,,,,,
